Key,EN,ZH
STATION_NAME_SHELLWOOD,Shellwood,壳牌
STATION_NAME_DOCKS,Deep Docks,深码头
STATION_NAME_SHADOW,Bilewater,胆水
TUBE_NAME_HANG,High Halls,高厅
TUBE_LIST_TITLE,VENTRICA,脑室
TUBE_NAME_SONG,Choral Chambers,合唱室
TUBE_NAME_HUB,Terminus,终点
STATION_NAME_BONEFOREST_EAST,Far Fields,远场
STATION_NAME_WEAVE,Weavenest,织造
MAP_LIST_TITLE,BELLWAYS,铃铛
STATION_NAME_CITADEL,Grand Bellway,大钟道
TUBE_NAME_CITYBELLWAY,Grand Bellway,大钟道
STATION_NAME_BELLTOWN,Bellhart,贝哈特
STATION_NAME_BONETOWN,Bone Bottom,骨底
PAY_TOLL_MSG,Insert Rosaries?,插入念珠？
TUBE_NAME_ENCLAVE,First Shrine,第一个神社
STATION_NAME_PEAK,The Slab,平板
STATION_NAME_AQUEDUCT,Putrified Ducts,裁定的管道
TUBE_NAME_UNDER,Underworks,在工作之下
STATION_NAME_BONE,The Marrow,骨髓
STATION_NAME_CORAL_TOWER,Blasted Steps,爆炸的步骤
STATION_NAME_GREYMOOR,Greymoor,绿色
TUBE_NAME_ARBORIUM,Memorium,纪念
