Key,EN,ZH
Q_SOUL_SNARE_PRE_DESC_WALL,Oi! I&#8217;m wishin&#8217; for that bothersome bellringer! That you readin&#8217; this? Then head up top beside the shrine. Might be we two should have a little chat...,喂！我有事找那个烦人的敲钟者！你有看到吗？看到了就来上面钟殿找我。我们得聊两句……
SQ_MELODY_ARCHITECT_PROMPT,"One part of the Threefold Melody, entrusted to the industrious Architects.",三重旋律之一，托付给了勤劳的建筑师。
SQ_BLACKTHREAD_5_FLOWER_DESC_END,The Pollen Heart has been claimed from Nyleth.,已从花语之喉处获得花粉之心。
QUEST_COURIER_BONEBOTTOM_NAME,Bone Bottom Supplies,骸底补给
QUEST_DOCTOR_CURSE_CURE_LOC,Yarnaby of Greymoor,灰沼雅纳碧
QUEST_TROBBIO_2_DESC_INV,"Return to the Citadel&#8217;s Stage, beside the Whispering Vaults.",返回低语书库旁的圣堡剧台。
QUEST_MRMUSHROOM_DESC_END,"That the age may pass, this shroom its witness.",菌主临鉴纪元歇。
MQ_DIVINGBELL_3_NAME,The Dark Below,暗藏其下
QUEST_TROBBIO_2_TITLE,"Pain, Anguish and Misery",苦痛巡礼
QUEST_ROCK_ROLLERS_LOC,Residents of Bone Bottom,骸底镇居民
QUEST_ROCK_ROLLERS_DESC_WALL,"Flintbeetles have awoken in the Marrow. The gems that grow in their bellies provide a pure, constant warmth. Harvest these treasures and be rewarded!",髓骨洞窟的燧甲虫苏醒了，它们腹中的宝石能提供纯净恒温。收割这些宝物换取奖励吧！
MQ_CITADEL_ASCENT_DESC_SILK,Confront the one who haunts the lands of Pharloom.,直面萦绕纺络的灾厄。
QUEST_HUNTRESS_NAME,Broodfeast,育巢盛宴
QUEST_FLEAGAMES_LOC,Mooshka of Fleatopia,蚤托邦的穆什卡
MQ_DIVINGBELL_2_DESC,Find aid in Deep Docks to access its diving bell and descend beneath Pharloom.,在深坞寻求帮助并找到潜钟以潜入纺络之下。
QUEST_PINSTRESS_BATTLE_PRE_DESC_WALL,"If the world is truly ending, I would test my pin in combat one last time. Come to my home at border&#8217;s edge and accept my challenge!",若世界真要终结，我希望最后一次用针证明自己。来边境小屋接受挑战！
MQ_CITADEL_INVESTIGATE_NAME,Silent Halls,寂静圣堡
QUEST_PINSTRESS_BATTLE_TITLE,Fatal Resolve,针锋对决
GARMOND_BLACK_THREADED_LOC,Residents of Bellhart,钟心镇居民
QUEST_STEELSENTINEL_DESC,Investigate the resting sites marked by Steel Seer Zi to uncover the location of her vassal.,调查钢之先知·梓标记的安息地并寻找其侍从。
QUEST_SHINY_BELL_GOOMBAS_LOC,Residents of Bellhart,钟心镇居民
QUEST_PINSTRESS_BATTLE_LOC,Pinstress of Blasted Steps,针姬
QUEST_COURIER_FLEATOPIA_NAME,Fleatopia Supplies,蚤托邦补给
QUEST_CROW_PRE_DESC,Speak to Creige of the Halfway Home in Greymoor.,前往灰沼中途酒馆与克雷吉对话。
QUEST_BELL_HOUSE_CONT_TITLE,Bellhart&#8217;s Glory,钟心荣光
QUEST_SAVE CITYMERCHANT_LOC,Residents of Songclave,圣歌盟地居民
QUEST_BEASTFLY_DESC_READY,Turn in the Horn Fragment to Bellhart&#8217;s wishwall and collect the reward.,向钟心镇祈愿墙提交兽角碎片领取奖励。
MQ_CITADEL_SEEKER_DESC,Ascend through the lands of Pharloom and reach the Citadel at the kingdom&#8217;s peak.,穿越纺络大地，抵达王国巅峰的圣堡。
MQ_BLACKTHREAD_5_NAME,The Old Hearts,古之心
Q_SOUL_SNARE_LOC,Caretaker of Songclave,圣歌盟地看守者
QUEST_BROLLY_GET_DESC,Hunt Hokers in the Far Fields and collect Spine Cores.,在远野猎杀棘背虫并收集棘刺芯。
TYPE_HUNT_2_TITLE,Grand Hunt,狩王试炼
